epoch,accuracy,loss,val_accuracy,val_loss
0,0.3625795841217041,1.3180983066558838,0.590778112411499,1.1439570188522339
1,0.8021035194396973,0.6683149933815002,0.8126801252365112,0.5379849076271057
2,0.897038459777832,0.3013463020324707,0.8126801252365112,0.5344592928886414
3,0.9321893453598022,0.20496992766857147,0.7953890562057495,0.5750139951705933
4,0.9465817809104919,0.15926411747932434,0.7925072312355042,0.6228736042976379
5,0.9529476761817932,0.1323571801185608,0.789625346660614,0.6659893989562988
6,0.9551619291305542,0.114142507314682,0.7694524526596069,0.7219708561897278
7,0.9612510204315186,0.099735327064991,0.7752161622047424,0.764389157295227
8,0.9629117250442505,0.0914032906293869,0.7809798121452332,0.8095697164535522
9,0.9629117250442505,0.08608081191778183,0.7723342776298523,0.8384906649589539
10,0.9667866230010986,0.08091186732053757,0.7752161622047424,0.8804803490638733
11,0.9667866230010986,0.07561149448156357,0.7809798121452332,0.9108370542526245
12,0.9678937196731567,0.07388726621866226,0.7780979871749878,0.9318383932113647
13,0.9678937196731567,0.06990237534046173,0.7780979871749878,0.9358319044113159
14,0.9662330746650696,0.06826744228601456,0.7636887431144714,0.9698125720024109
15,0.9678937196731567,0.06496202945709229,0.7694524526596069,0.9979825019836426
16,0.9659562706947327,0.06711813062429428,0.7579250931739807,1.0401204824447632
17,0.9678937196731567,0.06301531940698624,0.7636887431144714,1.0405579805374146
18,0.9665098190307617,0.06091640144586563,0.7694524526596069,1.0904297828674316
19,0.9659562706947327,0.06398222595453262,0.7521613836288452,1.0859421491622925
20,0.9681705236434937,0.06273280829191208,0.7608069181442261,1.0839018821716309
21,0.9681705236434937,0.06012055277824402,0.7665706276893616,1.1077237129211426
22,0.9687240719795227,0.055801745504140854,0.7636887431144714,1.123340129852295
23,0.9687240719795227,0.05688181519508362,0.7636887431144714,1.1476333141326904
24,0.9681705236434937,0.057676125317811966,0.7636887431144714,1.161696195602417
